I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,Pcr
8.06929,83879850.0,7.275958e-12,455.51483,2.253863,0.62405884,0.15254654,0.007960919,2.6537364,1138.7682,8.009634,9.415288,775.90356,8.009634,9.415288,775.90356,45.153137
7.777778,260578020.0,40712.56,2569.8574,2.3317518,0.34523314,0.115451746,0.011040692,2.461656,783.86584,2.7291305,6.903724,996.9349,7.7031484,0.9868162,493.28058,29.832668
7.6089396,188302930.0,1549.7319,1316.6993,2.199522,0.5955307,0.1745596,0.0093690865,2.5745318,973.6065,10.0,10.0,0.0,10.0,10.0,0.0,22.118326
0.20289494,4211163.0,192.89719,1.2068254,0.5982261,0.055598814,0.016924666,0.0018496184,0.61173314,1142.7227,0.4491101,7.1550784,418.7371,0.4491101,7.1550784,418.7371,59.198093
0.18300791,4947100.0,-69.47525,2.2794027,1.0438383,0.0833498,0.011478842,0.002424957,1.0613239,1563.5535,8.072238,4.547369,684.8067,1.6712615,1.9534377,205.00719,32.29748
5.030262,46396440.0,9238.58,285.8983,2.6408708,0.30255556,0.07774827,0.008769944,2.7305915,1100.0016,10.0,10.0,0.0,10.0,10.0,0.0,10.661193
1.723049,44412920.0,-7.275958e-12,346.5908,2.3698833,0.37341446,0.06733994,0.0092840865,2.5185516,901.56494,1.6126689,0.49693868,454.83505,1.6126689,0.49693868,454.83505,30.918392
0.3273739,11395318.0,-585.9241,8.122517,1.3075624,0.122846246,0.026255755,0.002992014,1.3377185,1584.465,10.0,10.0,1000.0,10.0,10.0,1000.0,33.232468
9.270753,174832080.0,55370.234,3545.3706,1.6888561,0.22979525,0.1425704,0.015580127,1.7688742,392.80472,4.5789886,7.4314356,413.21933,4.5789886,7.4314356,413.21933,29.018988
1.3198582,26007142.0,-1615.8427,26.68532,1.520126,0.15568638,0.060330205,0.0035294294,1.5616348,1541.6635,1.5553033,7.4321423,451.6396,2.1840632,1.3455138,619.9625,31.13725
1.5927823,49294810.0,3081.8628,168.06026,1.8741281,0.39589155,0.07309895,0.0064090593,2.0778294,1125.3251,10.0,10.0,0.0,10.0,10.0,0.0,23.189934
6.335193,126159770.0,5311.972,529.7106,2.7543337,0.27538916,0.13419546,0.0069994535,2.826091,1379.2001,10.0,10.0,0.0,10.0,10.0,0.0,8.907773
4.021802,165919580.0,41324.24,1526.4255,2.6339033,0.36217564,0.09072562,0.010482951,2.761249,910.3672,1.628734,6.4603615,236.37036,1.628734,6.4603615,236.37036,23.968403
1.2150935,27971662.0,-1782.6183,104.73271,2.2212343,0.19360222,0.037490282,0.0068251486,2.265446,1170.7701,4.298054,1.3760406,265.66382,3.1393867,1.3234427,355.15823,17.497442
